n,L,K,p.value,seed
500,25,50,0.8235294117647058,1
500,25,50,0.19607843137254902,2
500,25,50,0.1568627450980392,3
500,25,50,0.6274509803921569,4
500,25,50,0.3333333333333333,5
500,25,50,0.5294117647058824,6
500,25,50,0.23529411764705882,7
500,25,50,0.49019607843137253,8
500,25,50,0.8235294117647058,9
500,25,50,0.058823529411764705,10
500,25,50,0.45098039215686275,11
500,25,50,0.11764705882352941,12
500,25,50,0.47058823529411764,13
500,25,50,0.8627450980392157,14
500,25,50,0.09803921568627451,15
500,25,50,0.39215686274509803,16
500,25,50,0.23529411764705882,17
500,25,50,0.29411764705882354,18
500,25,50,0.39215686274509803,19
500,25,50,0.0784313725490196,20
500,25,50,0.0392156862745098,21
500,25,50,0.5882352941176471,22
500,25,50,0.17647058823529413,23
500,25,50,0.7058823529411765,24
500,25,50,0.058823529411764705,25
500,25,50,0.1568627450980392,26
500,25,50,0.43137254901960786,27
500,25,50,0.8823529411764706,28
500,25,50,0.43137254901960786,29
500,25,50,0.7058823529411765,30
500,25,50,0.13725490196078433,31
500,25,50,0.0196078431372549,32
500,25,50,1,33
500,25,50,0.43137254901960786,34
500,25,50,0.0392156862745098,35
500,25,50,0.4117647058823529,36
500,25,50,0.4117647058823529,37
500,25,50,0.5686274509803921,38
500,25,50,0.4117647058823529,39
500,25,50,0.0392156862745098,40
500,25,50,0.49019607843137253,41
500,25,50,0.9215686274509803,42
500,25,50,0.9607843137254902,43
500,25,50,0.9215686274509803,44
500,25,50,0.5294117647058824,45
500,25,50,0.058823529411764705,46
500,25,50,0.19607843137254902,47
500,25,50,0.21568627450980393,48
500,25,50,0.7647058823529411,49
500,25,50,0.8627450980392157,50
500,50,50,0.6862745098039216,1
500,50,50,0.3137254901960784,2
500,50,50,0.19607843137254902,3
500,50,50,0.43137254901960786,4
500,50,50,0.39215686274509803,5
500,50,50,0.5098039215686274,6
500,50,50,0.29411764705882354,7
500,50,50,0.27450980392156865,8
500,50,50,0.4117647058823529,9
500,50,50,0.0196078431372549,10
500,50,50,0.11764705882352941,11
500,50,50,0.11764705882352941,12
500,50,50,0.7254901960784313,13
500,50,50,0.2549019607843137,14
500,50,50,0.3137254901960784,15
500,50,50,0.47058823529411764,16
500,50,50,0.0392156862745098,17
500,50,50,0.3333333333333333,18
500,50,50,0.17647058823529413,19
500,50,50,0.0392156862745098,20
500,50,50,0.2549019607843137,21
500,50,50,0.8823529411764706,22
500,50,50,0.058823529411764705,23
500,50,50,0.47058823529411764,24
500,50,50,0.17647058823529413,25
500,50,50,0.39215686274509803,26
500,50,50,0.6470588235294118,27
500,50,50,0.6470588235294118,28
500,50,50,0.6078431372549019,29
500,50,50,0.9019607843137255,30
500,50,50,0.0196078431372549,31
500,50,50,0.1568627450980392,32
500,50,50,0.47058823529411764,33
500,50,50,0.0784313725490196,34
500,50,50,0.0196078431372549,35
500,50,50,0.27450980392156865,36
500,50,50,0.27450980392156865,37
500,50,50,0.09803921568627451,38
500,50,50,0.19607843137254902,39
500,50,50,0.09803921568627451,40
500,50,50,0.3137254901960784,41
500,50,50,0.6666666666666666,42
500,50,50,0.27450980392156865,43
500,50,50,0.7647058823529411,44
500,50,50,0.8627450980392157,45
500,50,50,0.11764705882352941,46
500,50,50,0.0196078431372549,47
500,50,50,0.23529411764705882,48
500,50,50,0.29411764705882354,49
500,50,50,0.9411764705882353,50
500,75,50,0.6470588235294118,1
500,75,50,0.058823529411764705,2
500,75,50,0.23529411764705882,3
500,75,50,0.13725490196078433,4
500,75,50,0.45098039215686275,5
500,75,50,0.803921568627451,6
500,75,50,0.17647058823529413,7
500,75,50,0.5686274509803921,8
500,75,50,0.21568627450980393,9
500,75,50,0.0196078431372549,10
500,75,50,0.09803921568627451,11
500,75,50,0.0196078431372549,12
500,75,50,0.19607843137254902,13
500,75,50,0.5686274509803921,14
500,75,50,0.11764705882352941,15
500,75,50,0.49019607843137253,16
500,75,50,0.0196078431372549,17
500,75,50,0.19607843137254902,18
500,75,50,0.058823529411764705,19
500,75,50,0.09803921568627451,20
500,75,50,0.5098039215686274,21
500,75,50,0.6666666666666666,22
500,75,50,0.0196078431372549,23
500,75,50,0.27450980392156865,24
500,75,50,0.13725490196078433,25
500,75,50,0.5686274509803921,26
500,75,50,0.2549019607843137,27
500,75,50,0.35294117647058826,28
500,75,50,0.5882352941176471,29
500,75,50,0.49019607843137253,30
500,75,50,0.0392156862745098,31
500,75,50,0.1568627450980392,32
500,75,50,0.21568627450980393,33
500,75,50,0.0196078431372549,34
500,75,50,0.0196078431372549,35
500,75,50,0.39215686274509803,36
500,75,50,0.17647058823529413,37
500,75,50,0.27450980392156865,38
500,75,50,0.0196078431372549,39
500,75,50,0.1568627450980392,40
500,75,50,0.35294117647058826,41
500,75,50,0.49019607843137253,42
500,75,50,0.29411764705882354,43
500,75,50,0.6862745098039216,44
500,75,50,0.29411764705882354,45
500,75,50,0.058823529411764705,46
500,75,50,0.0392156862745098,47
500,75,50,0.27450980392156865,48
500,75,50,0.21568627450980393,49
500,75,50,0.7647058823529411,50
500,100,50,0.7254901960784313,1
500,100,50,0.058823529411764705,2
500,100,50,0.1568627450980392,3
500,100,50,0.0196078431372549,4
500,100,50,0.45098039215686275,5
500,100,50,0.6470588235294118,6
500,100,50,0.13725490196078433,7
500,100,50,0.5098039215686274,8
500,100,50,0.058823529411764705,9
500,100,50,0.0196078431372549,10
500,100,50,0.3333333333333333,11
500,100,50,0.0784313725490196,12
500,100,50,0.5882352941176471,13
500,100,50,0.803921568627451,14
500,100,50,0.0392156862745098,15
500,100,50,0.2549019607843137,16
500,100,50,0.0196078431372549,17
500,100,50,0.058823529411764705,18
500,100,50,0.0392156862745098,19
500,100,50,0.19607843137254902,20
500,100,50,0.0392156862745098,21
500,100,50,0.6666666666666666,22
500,100,50,0.0196078431372549,23
500,100,50,0.27450980392156865,24
500,100,50,0.09803921568627451,25
500,100,50,0.49019607843137253,26
500,100,50,0.0784313725490196,27
500,100,50,0.1568627450980392,28
500,100,50,0.3137254901960784,29
500,100,50,0.17647058823529413,30
500,100,50,0.058823529411764705,31
500,100,50,0.0392156862745098,32
500,100,50,0.058823529411764705,33
500,100,50,0.0392156862745098,34
500,100,50,0.0196078431372549,35
500,100,50,0.09803921568627451,36
500,100,50,0.17647058823529413,37
500,100,50,0.35294117647058826,38
500,100,50,0.0392156862745098,39
500,100,50,0.09803921568627451,40
500,100,50,0.13725490196078433,41
500,100,50,0.3333333333333333,42
500,100,50,0.0392156862745098,43
500,100,50,0.8431372549019608,44
500,100,50,0.0392156862745098,45
500,100,50,0.058823529411764705,46
500,100,50,0.0392156862745098,47
500,100,50,0.5294117647058824,48
500,100,50,0.09803921568627451,49
500,100,50,0.1568627450980392,50
500,125,50,0.3333333333333333,1
500,125,50,0.0392156862745098,2
500,125,50,0.11764705882352941,3
500,125,50,0.0196078431372549,4
500,125,50,0.2549019607843137,5
500,125,50,0.1568627450980392,6
500,125,50,0.0784313725490196,7
500,125,50,0.6274509803921569,8
500,125,50,0.13725490196078433,9
500,125,50,0.0196078431372549,10
500,125,50,0.058823529411764705,11
500,125,50,0.0196078431372549,12
500,125,50,0.27450980392156865,13
500,125,50,0.6078431372549019,14
500,125,50,0.0196078431372549,15
500,125,50,0.1568627450980392,16
500,125,50,0.0196078431372549,17
500,125,50,0.0392156862745098,18
500,125,50,0.0196078431372549,19
500,125,50,0.09803921568627451,20
500,125,50,0.0784313725490196,21
500,125,50,0.39215686274509803,22
500,125,50,0.058823529411764705,23
500,125,50,0.0392156862745098,24
500,125,50,0.13725490196078433,25
500,125,50,0.6470588235294118,26
500,125,50,0.0196078431372549,27
500,125,50,0.17647058823529413,28
500,125,50,0.0196078431372549,29
500,125,50,0.1568627450980392,30
500,125,50,0.058823529411764705,31
500,125,50,0.0196078431372549,32
500,125,50,0.0196078431372549,33
500,125,50,0.0392156862745098,34
500,125,50,0.0392156862745098,35
500,125,50,0.0784313725490196,36
500,125,50,0.17647058823529413,37
500,125,50,0.0784313725490196,38
500,125,50,0.0392156862745098,39
500,125,50,0.058823529411764705,40
500,125,50,0.058823529411764705,41
500,125,50,0.23529411764705882,42
500,125,50,0.0196078431372549,43
500,125,50,0.19607843137254902,44
500,125,50,0.11764705882352941,45
500,125,50,0.0196078431372549,46
500,125,50,0.0196078431372549,47
500,125,50,0.2549019607843137,48
500,125,50,0.0392156862745098,49
500,125,50,0.11764705882352941,50
500,150,50,0.19607843137254902,1
500,150,50,0.0196078431372549,2
500,150,50,0.09803921568627451,3
500,150,50,0.0392156862745098,4
500,150,50,0.23529411764705882,5
500,150,50,0.0196078431372549,6
500,150,50,0.11764705882352941,7
500,150,50,0.3333333333333333,8
500,150,50,0.0196078431372549,9
500,150,50,0.0196078431372549,10
500,150,50,0.0392156862745098,11
500,150,50,0.0196078431372549,12
500,150,50,0.0392156862745098,13
500,150,50,0.47058823529411764,14
500,150,50,0.0196078431372549,15
500,150,50,0.0392156862745098,16
500,150,50,0.0196078431372549,17
500,150,50,0.0196078431372549,18
500,150,50,0.0196078431372549,19
500,150,50,0.058823529411764705,20
500,150,50,0.0784313725490196,21
500,150,50,0.21568627450980393,22
500,150,50,0.0196078431372549,23
500,150,50,0.058823529411764705,24
500,150,50,0.09803921568627451,25
500,150,50,0.49019607843137253,26
500,150,50,0.0392156862745098,27
500,150,50,0.0392156862745098,28
500,150,50,0.0196078431372549,29
500,150,50,0.0392156862745098,30
500,150,50,0.11764705882352941,31
500,150,50,0.0196078431372549,32
500,150,50,0.0196078431372549,33
500,150,50,0.0196078431372549,34
500,150,50,0.0196078431372549,35
500,150,50,0.0784313725490196,36
500,150,50,0.0392156862745098,37
500,150,50,0.0392156862745098,38
500,150,50,0.0196078431372549,39
500,150,50,0.0196078431372549,40
500,150,50,0.0392156862745098,41
500,150,50,0.0784313725490196,42
500,150,50,0.0196078431372549,43
500,150,50,0.23529411764705882,44
500,150,50,0.0392156862745098,45
500,150,50,0.0196078431372549,46
500,150,50,0.0196078431372549,47
500,150,50,0.09803921568627451,48
500,150,50,0.0196078431372549,49
500,150,50,0.058823529411764705,50
500,175,50,0.0784313725490196,1
500,175,50,0.0196078431372549,2
500,175,50,0.0196078431372549,3
500,175,50,0.0196078431372549,4
500,175,50,0.058823529411764705,5
500,175,50,0.0196078431372549,6
500,175,50,0.0392156862745098,7
500,175,50,0.17647058823529413,8
500,175,50,0.0392156862745098,9
500,175,50,0.0196078431372549,10
500,175,50,0.0196078431372549,11
500,175,50,0.058823529411764705,12
500,175,50,0.0196078431372549,13
500,175,50,0.17647058823529413,14
500,175,50,0.0196078431372549,15
500,175,50,0.0196078431372549,16
500,175,50,0.0196078431372549,17
500,175,50,0.0196078431372549,18
500,175,50,0.0196078431372549,19
500,175,50,0.0196078431372549,20
500,175,50,0.058823529411764705,21
500,175,50,0.09803921568627451,22
500,175,50,0.0196078431372549,23
500,175,50,0.0392156862745098,24
500,175,50,0.0196078431372549,25
500,175,50,0.29411764705882354,26
500,175,50,0.0392156862745098,27
500,175,50,0.0196078431372549,28
500,175,50,0.0196078431372549,29
500,175,50,0.0196078431372549,30
500,175,50,0.0392156862745098,31
500,175,50,0.0196078431372549,32
500,175,50,0.0392156862745098,33
500,175,50,0.0196078431372549,34
500,175,50,0.0196078431372549,35
500,175,50,0.0392156862745098,36
500,175,50,0.058823529411764705,37
500,175,50,0.0392156862745098,38
500,175,50,0.0196078431372549,39
500,175,50,0.0196078431372549,40
500,175,50,0.0196078431372549,41
500,175,50,0.0392156862745098,42
500,175,50,0.0196078431372549,43
500,175,50,0.13725490196078433,44
500,175,50,0.0196078431372549,45
500,175,50,0.0196078431372549,46
500,175,50,0.0196078431372549,47
500,175,50,0.0392156862745098,48
500,175,50,0.0392156862745098,49
500,175,50,0.0392156862745098,50
500,200,50,0.0196078431372549,1
500,200,50,0.0196078431372549,2
500,200,50,0.0196078431372549,3
500,200,50,0.0196078431372549,4
500,200,50,0.0196078431372549,5
500,200,50,0.0196078431372549,6
500,200,50,0.0196078431372549,7
500,200,50,0.0392156862745098,8
500,200,50,0.0196078431372549,9
500,200,50,0.0196078431372549,10
500,200,50,0.0196078431372549,11
500,200,50,0.0196078431372549,12
500,200,50,0.0196078431372549,13
500,200,50,0.0392156862745098,14
500,200,50,0.0196078431372549,15
500,200,50,0.0196078431372549,16
500,200,50,0.0196078431372549,17
500,200,50,0.0196078431372549,18
500,200,50,0.0196078431372549,19
500,200,50,0.0196078431372549,20
500,200,50,0.0196078431372549,21
500,200,50,0.0392156862745098,22
500,200,50,0.0196078431372549,23
500,200,50,0.0392156862745098,24
500,200,50,0.0196078431372549,25
500,200,50,0.1568627450980392,26
500,200,50,0.0392156862745098,27
500,200,50,0.0196078431372549,28
500,200,50,0.0196078431372549,29
500,200,50,0.0196078431372549,30
500,200,50,0.0196078431372549,31
500,200,50,0.0196078431372549,32
500,200,50,0.0196078431372549,33
500,200,50,0.0196078431372549,34
500,200,50,0.0196078431372549,35
500,200,50,0.0196078431372549,36
500,200,50,0.0196078431372549,37
500,200,50,0.0196078431372549,38
500,200,50,0.0196078431372549,39
500,200,50,0.0196078431372549,40
500,200,50,0.0196078431372549,41
500,200,50,0.0196078431372549,42
500,200,50,0.0196078431372549,43
500,200,50,0.21568627450980393,44
500,200,50,0.0196078431372549,45
500,200,50,0.0196078431372549,46
500,200,50,0.0196078431372549,47
500,200,50,0.0196078431372549,48
500,200,50,0.0196078431372549,49
500,200,50,0.0196078431372549,50
500,225,50,0.0196078431372549,1
500,225,50,0.0196078431372549,2
500,225,50,0.0196078431372549,3
500,225,50,0.0196078431372549,4
500,225,50,0.0196078431372549,5
500,225,50,0.0196078431372549,6
500,225,50,0.0196078431372549,7
500,225,50,0.0196078431372549,8
500,225,50,0.0196078431372549,9
500,225,50,0.0196078431372549,10
500,225,50,0.0196078431372549,11
500,225,50,0.0196078431372549,12
500,225,50,0.0196078431372549,13
500,225,50,0.0196078431372549,14
500,225,50,0.0196078431372549,15
500,225,50,0.0196078431372549,16
500,225,50,0.0196078431372549,17
500,225,50,0.0196078431372549,18
500,225,50,0.0196078431372549,19
500,225,50,0.0196078431372549,20
500,225,50,0.0196078431372549,21
500,225,50,0.0196078431372549,22
500,225,50,0.0196078431372549,23
500,225,50,0.0196078431372549,24
500,225,50,0.0196078431372549,25
500,225,50,0.058823529411764705,26
500,225,50,0.0196078431372549,27
500,225,50,0.0196078431372549,28
500,225,50,0.0196078431372549,29
500,225,50,0.0196078431372549,30
500,225,50,0.0196078431372549,31
500,225,50,0.0196078431372549,32
500,225,50,0.0196078431372549,33
500,225,50,0.0196078431372549,34
500,225,50,0.0196078431372549,35
500,225,50,0.0196078431372549,36
500,225,50,0.0196078431372549,37
500,225,50,0.0196078431372549,38
500,225,50,0.0196078431372549,39
500,225,50,0.0196078431372549,40
500,225,50,0.0196078431372549,41
500,225,50,0.0196078431372549,42
500,225,50,0.0196078431372549,43
500,225,50,0.0196078431372549,44
500,225,50,0.0196078431372549,45
500,225,50,0.0196078431372549,46
500,225,50,0.0196078431372549,47
500,225,50,0.0196078431372549,48
500,225,50,0.0196078431372549,49
500,225,50,0.0196078431372549,50
500,250,50,0.0196078431372549,1
500,250,50,0.0196078431372549,2
500,250,50,0.0196078431372549,3
500,250,50,0.0196078431372549,4
500,250,50,0.0196078431372549,5
500,250,50,0.0196078431372549,6
500,250,50,0.0196078431372549,7
500,250,50,0.0196078431372549,8
500,250,50,0.0196078431372549,9
500,250,50,0.0196078431372549,10
500,250,50,0.0196078431372549,11
500,250,50,0.0196078431372549,12
500,250,50,0.0196078431372549,13
500,250,50,0.0196078431372549,14
500,250,50,0.0196078431372549,15
500,250,50,0.0196078431372549,16
500,250,50,0.0196078431372549,17
500,250,50,0.0196078431372549,18
500,250,50,0.0196078431372549,19
500,250,50,0.0196078431372549,20
500,250,50,0.0196078431372549,21
500,250,50,0.0196078431372549,22
500,250,50,0.0196078431372549,23
500,250,50,0.0196078431372549,24
500,250,50,0.0196078431372549,25
500,250,50,0.0196078431372549,26
500,250,50,0.0196078431372549,27
500,250,50,0.0196078431372549,28
500,250,50,0.0196078431372549,29
500,250,50,0.0196078431372549,30
500,250,50,0.0196078431372549,31
500,250,50,0.0196078431372549,32
500,250,50,0.0196078431372549,33
500,250,50,0.0196078431372549,34
500,250,50,0.0196078431372549,35
500,250,50,0.0196078431372549,36
500,250,50,0.0196078431372549,37
500,250,50,0.0196078431372549,38
500,250,50,0.0196078431372549,39
500,250,50,0.0196078431372549,40
500,250,50,0.0196078431372549,41
500,250,50,0.0196078431372549,42
500,250,50,0.0196078431372549,43
500,250,50,0.0196078431372549,44
500,250,50,0.0196078431372549,45
500,250,50,0.0196078431372549,46
500,250,50,0.0196078431372549,47
500,250,50,0.0196078431372549,48
500,250,50,0.0196078431372549,49
500,250,50,0.0196078431372549,50
